Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2045,Central Basin and Range,,Fire,46.7784,Normal,Iteration and Timestep,115.6792349,0,162.4576349
2046,Central Basin and Range,,Fire,70.5958,Normal,Iteration and Timestep,147.1509412,0,217.7467412
2047,Central Basin and Range,,Fire,44.7213,Normal,Iteration and Timestep,99.88469046,0,144.6059905
2048,Central Basin and Range,,Fire,26.6038,Normal,Iteration and Timestep,38.72863099,0,65.33243099
2049,Central Basin and Range,,Fire,41.2412,Normal,Iteration and Timestep,90.7473265,0,131.9885265
2050,Central Basin and Range,,Fire,132.6247,Normal,Iteration and Timestep,286.9181723,0,419.5428723
2051,Central Basin and Range,,Fire,41.3336,Normal,Iteration and Timestep,76.00032336,0,117.3339234
2052,Central Basin and Range,,Fire,61.8544,Normal,Iteration and Timestep,166.7439021,0,228.5983021
2053,Central Basin and Range,,Fire,27.3035,Normal,Iteration and Timestep,56.91130461,0,84.21480461
2054,Central Basin and Range,,Fire,17.7805,Normal,Iteration and Timestep,30.44254076,0,48.22304076
2055,Central Basin and Range,,Fire,52.0132,Normal,Iteration and Timestep,109.1767384,0,161.1899384
2056,Central Basin and Range,,Fire,61.2148,Normal,Iteration and Timestep,178.6370384,0,239.8518384
2057,Central Basin and Range,,Fire,32.4835,Normal,Iteration and Timestep,79.40485597,0,111.888356
2058,Central Basin and Range,,Fire,61.4191,Normal,Iteration and Timestep,129.1502603,0,190.5693603
2059,Central Basin and Range,,Fire,20.6984,Normal,Iteration and Timestep,49.31377626,0,70.01217626
2060,Central Basin and Range,,Fire,25.9056,Normal,Iteration and Timestep,60.25453028,0,86.16013028
2061,Central Basin and Range,,Fire,49.7065,Normal,Iteration and Timestep,118.8686812,0,168.5751812
2062,Central Basin and Range,,Fire,74.8359,Normal,Iteration and Timestep,125.8159864,0,200.6518864
2063,Central Basin and Range,,Fire,48.2398,Normal,Iteration and Timestep,101.5003485,0,149.7401485
2064,Central Basin and Range,,Fire,48.3383,Normal,Iteration and Timestep,81.98953515,0,130.3278352
2065,Central Basin and Range,,Fire,46.2973,Normal,Iteration and Timestep,96.75132351,0,143.0486235
