Timestep,StratumID,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2082,Central Basin and Range,,Fire,37.6223,Normal,Iteration and Timestep,76.35877611,0,113.9810761
2083,Central Basin and Range,,Fire,28.5223,Normal,Iteration and Timestep,62.72403319,0,91.24633319
2084,Central Basin and Range,,Fire,24.176,Normal,Iteration and Timestep,40.9346493,0,65.1106493
2085,Central Basin and Range,,Fire,29.8435,Normal,Iteration and Timestep,65.92465441,0,95.76815441
2086,Central Basin and Range,,Fire,65.5172,Normal,Iteration and Timestep,159.8513595,0,225.3685595
2087,Central Basin and Range,,Fire,54.525,Normal,Iteration and Timestep,141.1413286,0,195.6663286
2088,Central Basin and Range,,Fire,25.0783,Normal,Iteration and Timestep,37.84339607,0,62.92169607
2089,Central Basin and Range,,Fire,21.9779,Normal,Iteration and Timestep,41.17941776,0,63.15731776
2090,Central Basin and Range,,Fire,49.5925,Normal,Iteration and Timestep,102.7783116,0,152.3708116
2091,Central Basin and Range,,Fire,29.4014,Normal,Iteration and Timestep,106.0460067,0,135.4474067
2092,Central Basin and Range,,Fire,38.9756,Normal,Iteration and Timestep,100.6208934,0,139.5964934
2093,Central Basin and Range,,Fire,43.6403,Normal,Iteration and Timestep,108.2810772,0,151.9213772
2094,Central Basin and Range,,Fire,168.7165,Normal,Iteration and Timestep,309.8971161,0,478.6136161
2095,Central Basin and Range,,Fire,27.5088,Normal,Iteration and Timestep,56.72925758,0,84.23805758
2096,Central Basin and Range,,Fire,40.4701,Normal,Iteration and Timestep,120.3956225,0,160.8657225
2097,Central Basin and Range,,Fire,47.7365,Normal,Iteration and Timestep,109.4475809,0,157.1840809
2098,Central Basin and Range,,Fire,29.0568,Normal,Iteration and Timestep,98.95378615,0,128.0105862
2099,Central Basin and Range,,Fire,25.5223,Normal,Iteration and Timestep,65.49791829,0,91.02021829
2017,Central California Valley,,Fire,90.8336,Normal,Iteration and Timestep,73.32099739,17.51260261,164.1545974
2018,Central California Valley,,Fire,76.8386,Normal,Iteration and Timestep,56.09046951,20.74813049,132.9290695
2019,Central California Valley,,Fire,76.0175,Normal,Iteration and Timestep,72.02624047,3.99125953,148.0437405
2020,Central California Valley,,Fire,64.3044,Normal,Iteration and Timestep,56.94140382,7.36299618,121.2458038
2021,Central California Valley,,Fire,51.3057,Normal,Iteration and Timestep,53.40511072,0,104.7108107
2022,Central California Valley,,Fire,47.608,Normal,Iteration and Timestep,38.56901433,9.03898567,86.17701433
2023,Central California Valley,,Fire,65.4697,Normal,Iteration and Timestep,53.3623591,12.1073409,118.8320591
2024,Central California Valley,,Fire,67.0716,Normal,Iteration and Timestep,46.56653888,20.50506112,113.6381389
2025,Central California Valley,,Fire,67.2599,Normal,Iteration and Timestep,58.7322664,8.5276336,125.9921664
2026,Central California Valley,,Fire,49.6409,Normal,Iteration and Timestep,46.16230525,3.47859475,95.80320525
2027,Central California Valley,,Fire,53.596,Normal,Iteration and Timestep,55.25017201,0,108.846172
